Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Iceland,ISL,32.2,..,..,..,..,24.2,..,21.7,..,..,18.3,..,..,..,..,13.8,..,..,..,..,10.5,9.9,9.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,India,IND,55.8,..,..,..,..,46.6,..,43.1,..,..,38.3,..,..,..,..,31.5,..,..,..,..,26.1,25.2,24.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Indonesia,IDN,35.2,..,..,..,..,35.5,..,35.8,..,..,36.2,..,..,..,..,37.1,..,..,..,..,37.8,37.9,38.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,"Iran, Islamic Rep.",IRN,22,..,..,..,..,19.5,..,18.6,..,..,17.3,..,..,..,..,15.5,..,..,..,..,13.9,13.6,13.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Iraq,IRQ,22.3,..,..,..,..,20.9,..,20.6,..,..,20.1,..,..,..,..,19.5,..,..,..,..,19.2,19.3,19.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Ireland,IRL,35.7,..,..,..,..,30.9,..,29.2,..,..,26.8,..,..,..,..,23.4,..,..,..,..,20.4,19.8,19.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Israel,ISR,31.2,..,..,..,..,28.2,..,27.1,..,..,25.7,..,..,..,..,23.2,..,..,..,..,21.2,20.7,20.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Italy,ITA,26.1,..,..,..,..,25.2,..,24.8,..,..,24.4,..,..,..,..,23.5,..,..,..,..,22.7,22.6,22.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Jamaica,JAM,17.1,..,..,..,..,14.9,..,14.1,..,..,13,..,..,..,..,11.5,..,..,..,..,10.1,9.9,9.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Japan,JPN,33.6,..,..,..,..,29.4,..,27.9,..,..,25.9,..,..,..,..,22.8,..,..,..,..,20.2,19.6,19.2,..,..
